"";"comuna_name";"edad";"hombres";"mujeres";"total"
"1";"arica";"20 a 24";9391;8652;18043
"2";"arica";"25 a 29";9377;8797;18174
"3";"arica";"30 a 34";8192;8306;16498
"4";"arica";"35 a 39";7343;7707;15050
"5";"arica";"40 a 44";7143;7607;14750
"6";"arica";"45 a 49";6596;7224;13820
"7";"arica";"50 a 54";6201;7122;13323
"8";"arica";"55 a 59";5481;6176;11657
"9";"arica";"60 a 64";5035;5138;10173
"10";"arica";"65 a 69";3770;4310;8080
"11";"arica";"70 a 74";3033;3502;6535
"12";"arica";"75 a 79";1904;2356;4260
"13";"arica";"80 a 84";1108;1629;2737
"14";"arica";"85 a 89";619;999;1618
"15";"arica";"90 a 94";208;396;604
"16";"arica";"95 a 99";34;119;153
"17";"arica";"100 o más";10;40;50
"18";"camarones";"20 a 24";46;26;72
"19";"camarones";"25 a 29";65;39;104
"20";"camarones";"30 a 34";52;41;93
"21";"camarones";"35 a 39";51;33;84
"22";"camarones";"40 a 44";59;30;89
"23";"camarones";"45 a 49";48;34;82
"24";"camarones";"50 a 54";56;40;96
"25";"camarones";"55 a 59";57;41;98
"26";"camarones";"60 a 64";54;34;88
"27";"camarones";"65 a 69";39;42;81
"28";"camarones";"70 a 74";28;27;55
"29";"camarones";"75 a 79";20;11;31
"30";"camarones";"80 a 84";10;8;18
"31";"camarones";"85 a 89";5;7;12
"32";"camarones";"90 a 94";2;4;6
"33";"camarones";"95 a 99";0;2;2
"34";"camarones";"100 o más";1;0;1
"35";"putre";"20 a 24";243;52;295
"36";"putre";"25 a 29";191;59;250
"37";"putre";"30 a 34";189;65;254
"38";"putre";"35 a 39";189;54;243
"39";"putre";"40 a 44";164;57;221
"40";"putre";"45 a 49";126;45;171
"41";"putre";"50 a 54";95;38;133
"42";"putre";"55 a 59";91;39;130
"43";"putre";"60 a 64";54;37;91
"44";"putre";"65 a 69";35;29;64
"45";"putre";"70 a 74";29;28;57
"46";"putre";"75 a 79";26;28;54
"47";"putre";"80 a 84";15;17;32
"48";"putre";"85 a 89";9;12;21
"49";"putre";"90 a 94";1;3;4
"50";"putre";"95 a 99";1;1;2
"51";"putre";"100 o más";0;1;1
"52";"general lagos";"20 a 24";48;10;58
"53";"general lagos";"25 a 29";48;12;60
"54";"general lagos";"30 a 34";36;14;50
"55";"general lagos";"35 a 39";33;22;55
"56";"general lagos";"40 a 44";24;25;49
"57";"general lagos";"45 a 49";27;12;39
"58";"general lagos";"50 a 54";17;24;41
"59";"general lagos";"55 a 59";24;21;45
"60";"general lagos";"60 a 64";25;19;44
"61";"general lagos";"65 a 69";19;15;34
"62";"general lagos";"70 a 74";16;17;33
"63";"general lagos";"75 a 79";11;4;15
"64";"general lagos";"80 a 84";4;6;10
"65";"general lagos";"85 a 89";3;3;6
"66";"general lagos";"90 a 94";1;0;1
"67";"general lagos";"95 a 99";0;0;0
"68";"general lagos";"100 o más";0;0;0
"69";"iquique";"20 a 24";7574;7444;15018
"70";"iquique";"25 a 29";8896;8745;17641
"71";"iquique";"30 a 34";8180;8237;16417
"72";"iquique";"35 a 39";7393;7644;15037
"73";"iquique";"40 a 44";6586;6717;13303
"74";"iquique";"45 a 49";5696;5919;11615
"75";"iquique";"50 a 54";5591;5887;11478
"76";"iquique";"55 a 59";5052;5488;10540
"77";"iquique";"60 a 64";4613;4690;9303
"78";"iquique";"65 a 69";3089;3373;6462
"79";"iquique";"70 a 74";2208;2343;4551
"80";"iquique";"75 a 79";1236;1648;2884
"81";"iquique";"80 a 84";744;1155;1899
"82";"iquique";"85 a 89";439;803;1242
"83";"iquique";"90 a 94";161;377;538
"84";"iquique";"95 a 99";31;93;124
"85";"iquique";"100 o más";15;15;30
"86";"alto hospicio";"20 a 24";5050;4857;9907
"87";"alto hospicio";"25 a 29";5005;4999;10004
"88";"alto hospicio";"30 a 34";4284;4320;8604
"89";"alto hospicio";"35 a 39";3801;3994;7795
"90";"alto hospicio";"40 a 44";3369;3607;6976
"91";"alto hospicio";"45 a 49";3087;3366;6453
"92";"alto hospicio";"50 a 54";3015;3004;6019
"93";"alto hospicio";"55 a 59";2253;2240;4493
"94";"alto hospicio";"60 a 64";1655;1565;3220
"95";"alto hospicio";"65 a 69";1003;1000;2003
"96";"alto hospicio";"70 a 74";589;685;1274
"97";"alto hospicio";"75 a 79";277;376;653
"98";"alto hospicio";"80 a 84";145;228;373
"99";"alto hospicio";"85 a 89";76;131;207
"100";"alto hospicio";"90 a 94";25;45;70
"101";"alto hospicio";"95 a 99";8;13;21
"102";"alto hospicio";"100 o más";9;6;15
"103";"pozo almonte";"20 a 24";764;466;1230
"104";"pozo almonte";"25 a 29";800;568;1368
"105";"pozo almonte";"30 a 34";819;585;1404
"106";"pozo almonte";"35 a 39";749;497;1246
"107";"pozo almonte";"40 a 44";705;439;1144
"108";"pozo almonte";"45 a 49";544;346;890
"109";"pozo almonte";"50 a 54";536;314;850
"110";"pozo almonte";"55 a 59";462;327;789
"111";"pozo almonte";"60 a 64";366;284;650
"112";"pozo almonte";"65 a 69";220;161;381
"113";"pozo almonte";"70 a 74";190;133;323
"114";"pozo almonte";"75 a 79";99;100;199
"115";"pozo almonte";"80 a 84";65;74;139
"116";"pozo almonte";"85 a 89";26;32;58
"117";"pozo almonte";"90 a 94";8;15;23
"118";"pozo almonte";"95 a 99";1;4;5
"119";"pozo almonte";"100 o más";1;1;2
"120";"camiña";"20 a 24";42;40;82
"121";"camiña";"25 a 29";44;41;85
"122";"camiña";"30 a 34";41;30;71
"123";"camiña";"35 a 39";25;38;63
"124";"camiña";"40 a 44";55;35;90
"125";"camiña";"45 a 49";44;39;83
"126";"camiña";"50 a 54";45;37;82
"127";"camiña";"55 a 59";40;31;71
"128";"camiña";"60 a 64";34;27;61
"129";"camiña";"65 a 69";27;25;52
"130";"camiña";"70 a 74";28;22;50
"131";"camiña";"75 a 79";21;21;42
"132";"camiña";"80 a 84";16;12;28
"133";"camiña";"85 a 89";10;3;13
"134";"camiña";"90 a 94";3;4;7
"135";"camiña";"95 a 99";2;1;3
"136";"camiña";"100 o más";1;0;1
"137";"colchane";"20 a 24";98;61;159
"138";"colchane";"25 a 29";122;71;193
"139";"colchane";"30 a 34";98;49;147
"140";"colchane";"35 a 39";83;60;143
"141";"colchane";"40 a 44";77;44;121
"142";"colchane";"45 a 49";58;48;106
"143";"colchane";"50 a 54";48;56;104
"144";"colchane";"55 a 59";43;45;88
"145";"colchane";"60 a 64";59;35;94
"146";"colchane";"65 a 69";39;38;77
"147";"colchane";"70 a 74";29;26;55
"148";"colchane";"75 a 79";27;15;42
"149";"colchane";"80 a 84";9;10;19
"150";"colchane";"85 a 89";5;4;9
"151";"colchane";"90 a 94";2;3;5
"152";"colchane";"95 a 99";1;1;2
"153";"colchane";"100 o más";0;0;0
"154";"huara";"20 a 24";98;78;176
"155";"huara";"25 a 29";113;101;214
"156";"huara";"30 a 34";107;87;194
"157";"huara";"35 a 39";103;71;174
"158";"huara";"40 a 44";85;64;149
"159";"huara";"45 a 49";108;68;176
