"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"candidato";"region_id";"region_name";"comuna_name"
"1";1;1;2316;0;2013;1;"Michelle Bachelet Jeria";5;"Valparaiso";"Algarrobo"
"2";1;4;498;0;2013;1;"Franco Aldo Parisi Fernandez";5;"Valparaiso";"Algarrobo"
"3";1;5;106;0;2013;1;"Marcel Claude Reyes";5;"Valparaiso";"Algarrobo"
"4";1;3;509;0;2013;1;"Marco Enriquez-Ominami Gumucio";5;"Valparaiso";"Algarrobo"
"5";1;9;22;0;2013;2;"Votos En Blanco";5;"Valparaiso";"Algarrobo"
"6";1;7;54;0;2013;1;"Roxana Miranda Meneses";5;"Valparaiso";"Algarrobo"
"7";1;2;2207;0;2013;1;"Evelyn Matthei Fornet";5;"Valparaiso";"Algarrobo"
"8";1;2550;4138;1;2017;2;" Sebastian Pinera Echenique";5;"Valparaiso";"Algarrobo"
"9";1;11;9;0;2013;1;"Tomas Jocelyn-Holt Letelier";5;"Valparaiso";"Algarrobo"
"10";1;3;247;0;2017;1;"Marco Enriquez-Ominami Gumucio";5;"Valparaiso";"Algarrobo"
"11";1;9;25;0;2013;1;"Votos En Blanco";5;"Valparaiso";"Algarrobo"
"12";1;535;12;0;2017;1;"Alejandro Navarro Brain";5;"Valparaiso";"Algarrobo"
"13";1;567;2519;0;2017;2;"Alejandro Guillier Alvarez";5;"Valparaiso";"Algarrobo"
"14";1;10;41;0;2013;1;"Ricardo Israel Zipper";5;"Valparaiso";"Algarrobo"
"15";1;561;405;0;2017;1;"Carolina Goic Boroevic";5;"Valparaiso";"Algarrobo"
"16";1;9;24;0;2017;1;"Votos En Blanco";5;"Valparaiso";"Algarrobo"
"17";1;6;155;0;2013;1;"Alfredo Sfeir Younis";5;"Valparaiso";"Algarrobo"
"18";1;2551;1099;0;2017;1;"Beatriz Sanchez Munoz";5;"Valparaiso";"Algarrobo"
"19";1;8;34;0;2017;2;"Votos Nulos";5;"Valparaiso";"Algarrobo"
"20";1;9;5;0;2017;2;"Votos En Blanco";5;"Valparaiso";"Algarrobo"
"21";1;1;2577;1;2013;2;"Michelle Bachelet Jeria";5;"Valparaiso";"Algarrobo"
"22";1;2550;2974;0;2017;1;" Sebastian Pinera Echenique";5;"Valparaiso";"Algarrobo"
"23";1;8;72;0;2013;2;"Votos Nulos";5;"Valparaiso";"Algarrobo"
"24";1;8;36;0;2017;1;"Votos Nulos";5;"Valparaiso";"Algarrobo"
"25";1;8;42;0;2013;1;"Votos Nulos";5;"Valparaiso";"Algarrobo"
"26";1;2552;24;0;2017;1;"Eduardo Artes Brichetti";5;"Valparaiso";"Algarrobo"
"27";1;147;338;0;2017;1;"Jose Antonio Kast Rist";5;"Valparaiso";"Algarrobo"
"28";1;567;1170;0;2017;1;"Alejandro Guillier Alvarez";5;"Valparaiso";"Algarrobo"
"29";1;2;2701;0;2013;2;"Evelyn Matthei Fornet";5;"Valparaiso";"Algarrobo"
