region_id,region_name,comuna_datachile_id,comuna_customs_id,comuna_tax_office_id,comuna_name
1,Tarapaca,226,1401,1204,Pozo Almonte
1,Tarapaca,217,1405,1203,Pica
1,Tarapaca,113,1101,1201,Iquique
1,Tarapaca,108,1404,1206,Huara
1,Tarapaca,58,1403,1210,Colchane
1,Tarapaca,26,1402,1208,Camina
1,Tarapaca,5,1107,1211,Alto Hospicio
2,Antofagasta,321,2301,2101,Tocopilla
2,Antofagasta,313,2104,2202,Taltal
2,Antofagasta,309,2103,2206,Sierra Gorda
2,Antofagasta,297,2203,2303,San Pedro de Atacama
2,Antofagasta,189,2202,2302,Ollague
2,Antofagasta,170,2102,2203,Mejillones
2,Antofagasta,165,2302,2103,Maria Elena
2,Antofagasta,19,2201,2301,Calama
2,Antofagasta,9,2101,2201,Antofagasta
3,Atacama,330,3301,3301,Vallenar
3,Atacama,317,3103,3203,Tierra Amarilla
3,Atacama,109,3304,3303,Huasco
3,Atacama,93,3303,3302,Freirina
3,Atacama,81,3202,3102,Diego de Almagro
3,Atacama,68,3101,3201,Copiapo
3,Atacama,39,3201,3101,Chanaral
3,Atacama,21,3102,3202,Caldera
3,Atacama,4,3302,3304,Alto del Carmen
4,Coquimbo,334,4106,4105,Vicuna
4,Coquimbo,278,4204,4302,Salamanca
4,Coquimbo,271,4305,4206,Rio Hurtado
4,Coquimbo,237,4304,4204,Punitaqui
4,Coquimbo,195,4105,4106,Paihuano
4,Coquimbo,192,4301,4201,Ovalle
4,Coquimbo,174,4303,4203,Monte Patria
4,Coquimbo,156,4203,4303,Los Vilos
4,Coquimbo,126,4101,4101,La Serena
4,Coquimbo,122,4104,4102,La Higuera
4,Coquimbo,111,4201,4301,Illapel
4,Coquimbo,69,4102,4103,Coquimbo
4,Coquimbo,62,4302,4205,Combarbala
4,Coquimbo,27,4202,4304,Canela
4,Coquimbo,7,4103,4104,Andacollo
5,Valparaiso,344,5405,5204,Zapallar
5,Valparaiso,339,5109,5302,Vina del Mar
5,Valparaiso,337,5108,5303,Villa Alemana
5,Valparaiso,331,5101,5301,Valparaiso
5,Valparaiso,308,5606,5402,Santo Domingo
